date,rang,vitesse,distance
8/11/2020 18:30,4,2.8,64.9
8/11/2020 22:30,6,5.2,121.3
9/11/2020 05:30,19,9.0,210.5
9/11/2020 09:00,11,10.2,245.0
9/11/2020 12:00,10,10.9,262.2
9/11/2020 15:00,10,11.5,275.0
9/11/2020 18:00,11,10.0,241.1
9/11/2020 22:30,12,8.8,212.3
10/11/2020 05:30,13,7.8,187.1
10/11/2020 09:30,15,7.9,188.4
10/11/2020 12:30,17,8.0,191.8
10/11/2020 15:30,17,8.7,208.7
10/11/2020 18:00,17,9.3,222.8
10/11/2020 22:30,19,10.4,250.7
11/11/2020 05:30,16,13.2,316.9
11/11/2020 09:30,16,12.7,304.7
11/11/2020 12:30,8,13.0,311.6
11/11/2020 15:30,7,12.7,304.0
11/11/2020 18:30,6,11.6,278.6
11/11/2020 22:30,2,11.7,281.4
12/11/2020 05:30,8,11.0,265.1
12/11/2020 09:30,4,11.3,265.1
12/11/2020 12:30,1,11.7,280.1
12/11/2020 15:30,1,12.1,289.7
12/11/2020 18:30,2,13.0,310.9
12/11/2020 22:30,1,12.5,299.6
13/11/2020 05:30,1,14.6,351.0
13/11/2020 09:30,1,15.1,363.6
13/11/2020 12:30,1,15.0,360.9
13/11/2020 15:30,1,14.7,352.2
13/11/2020 18:30,1,15.1,362.3
13/11/2020 22:30,1,16.1,386.3
14/11/2020 05:30,1,16.1,385.4
14/11/2020 09:30,2,16.4,393.3
14/11/2020 12:30,2,16.3,391.6
14/11/2020 15:30,2,16.1,387.3
14/11/2020 17:30,2,15.4,369.7
14/11/2020 21:30,2,14.8,356.0
15/11/2020 04:30,1,13.8,330.3
15/11/2020 08:30,1,13.7,329.2
15/11/2020 11:30,1,14.5,347.1
15/11/2020 14:30,1,16.1,385.3
15/11/2020 17:30,1,16.9,406.2
