time,LinkedOut,Apivia,HugoBoss
8/11/2020 18:30,3,2,4
8/11/2020 22:30,4,5,6
9/11/2020 05:30,18,17,19
9/11/2020 09:00,23,25,11
9/11/2020 12:00,26,21,10
9/11/2020 15:00,17,12,10
9/11/2020 18:00,16,12,11
9/11/2020 22:30,15,8,12
10/11/2020 05:30,22,4,13
10/11/2020 09:30,26,8,15
10/11/2020 12:30,26,9,17
10/11/2020 15:30,23,8,17
10/11/2020 18:00,22,11,17
10/11/2020 22:30,20,11,19
11/11/2020 05:30,14,13,16
11/11/2020 09:30,8,12,16
11/11/2020 12:30,5,7,8
11/11/2020 15:30,5,4,7
11/11/2020 18:30,10,2,6
11/11/2020 22:30,9,1,2
12/11/2020 05:30,6,10,8
12/11/2020 09:30,5,6,4
12/11/2020 12:30,3,4,1
12/11/2020 15:30,4,5,1
12/11/2020 18:30,6,5,2
12/11/2020 22:30,5,4,1
13/11/2020 05:30,3,4,1
13/11/2020 09:30,3,6,1
13/11/2020 12:30,3,6,1
13/11/2020 15:30,4,7,1
13/11/2020 18:30,3,7,1
13/11/2020 22:30,3,6,1
14/11/2020 05:30,4,9,1
14/11/2020 09:30,4,12,2
14/11/2020 12:30,6,14,2
14/11/2020 15:30,7,15,2
14/11/2020 17:30,8,13,2
14/11/2020 21:30,7,11,2
15/11/2020 04:30,6,9,1
15/11/2020 08:30,4,8,1
15/11/2020 11:30,4,7,1
15/11/2020 14:30,3,6,1
15/11/2020 17:30,3,6,1
,15/11/2020 17:30,3,6
